district,block,sr_no,gram_panchayat,reservation,caste_reservation,woman_reserved,winner,father_husband,unopposed,vacant,reservation_raw,script,printings_agree,notification,source_pdf
Ambala,Ambala-I,1,Ado Majra,Other than Woman,NONE,0,Sarjant Singh,Joginder Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,2,Ahema,SC Other than Woman,SC,0,Ram Kumar,Gurnam Singh,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,Woman,NONE,1,Sushma,Surinder Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,Other than Woman,NONE,0,Avtar Singh,Dharampal,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,5,Babaheri,Woman,NONE,1,Minakshi,Gorav Sharma,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,SC Other than Woman,SC,0,Keema Ram,Karam Chand,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,7,Ballana,Other than Woman,NONE,0,Labh Singh,Fagga Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,8,Balapur,Other than Woman,NONE,0,Sohan Lal,Puran Chand,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,9,Bara,Other than Woman,NONE,0,Vikas Behgal,Nahar Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,10,Baroula,SC Woman,SC,1,Kavita,Baldev Raj,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,11,Barouli,SC Other than Woman,SC,0,Paramjit Kaur,Ranbir Singh,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,12,Batrohan,Other than Woman,NONE,0,Gurjant Singh,Sahab Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,13,Bedsan,Other than Woman,NONE,0,Neelam,Ram Kumar,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,14,Bego Majra,Woman,NONE,1,Bhupinder Kaur,Jagdeep Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,15,Behbalpur,Other than Woman,NONE,0,Maya Ram,Parsa Ram,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,16,Bhanokheri,SC Woman,SC,1,Urmila Devi,Vijay Singh,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,17,Bhanpur- Nakatpur,Woman,NONE,1,Sarabjeet Kaur,Balwinder Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,18,Bhari,Woman,NONE,1,Rajvinder Kaur,Baljeet Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,19,Bhunni,Woman,NONE,1,Rajvinder Kaur,Gurvinder Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,20,Bhurangpu r,Woman,NONE,1,Rajwinder Kaur,Baljit Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,21,Bhura Majra,SC Woman,SC,1,Sukhbir Kaur,Raj Singh,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,22,Bishangarh,Woman,NONE,1,Kuljeet Kaur,Hawa Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,23,Chhapra,SC Other than Woman,SC,0,Neha Kumari,Labh Singh,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,24,Chhota Baroula,Woman,NONE,1,Saravjeet Kaur,Chetav Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,25,Dangerian,Woman,NONE,1,Kulwinder Kaur,Shamsher Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,26,Danipur,Other than Woman,NONE,0,Krishan Singh,Joginder Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,27,Delu Majra,Other than Woman,NONE,0,Nirmal Singh,Dev Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,28,Dhanoura,Other than Woman,NONE,0,Jasdeep Kaur,Gurmeet Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,29,Dhanouri,SC Other than Woman,SC,0,Ravi Kant,Yaad Ram,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,30,Dhurala,Other than Woman,NONE,0,Nirmal Singh,Jarnail Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,31,Dhurkara,Other than Woman,NONE,0,Gurlal Singh,Mohan Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,32,Dukheri,Other than Woman,NONE,0,Rajkaran,Mamraj Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,33,Durana,Woman,NONE,1,Raj Rani,Subash Chand,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,34,Farouli,SC Other than Woman,SC,0,Sunil Kumar,Jaypal,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,35,Fazailpur,Woman,NONE,1,Anita Rani,Satpal,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,36,Gorsian,SC Woman,SC,1,Shikha Rani,Mahinder Singh,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,37,Humayunp ur,Woman,NONE,1,Rupinder Kaur,Davinder Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,38,Ismailpur,SC Other than Woman,SC,0,Karam Chand,Swaran Singh,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,39,Jagouli,Other than Woman,NONE,0,Satinder Kaur,Balkar Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,40,Jaitpura,SC Woman,SC,1,Jaswinder Kaur,Sukhvir Singh,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,41,Jalalpur,Other than Woman,NONE,0,Parmod Kumar,Suresh Kumar,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,42,Jandheri,Woman,NONE,1,Raj Bala,Krishan Lal,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,43,Jansua,Other than Woman,NONE,0,Lakhwinder Kaur,Manjeet Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,44,Jansui,Woman,NONE,1,Sunita Rani,Surender Kumar,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,45,Jodhpur,Other than Woman,NONE,0,Surender Singh,Teja Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
