district,block,saved_as,sha256,bytes,source_filename,url
Ambala,,Ambala.pdf,79d3fbb45be4817bd3416ee782827c31cb5083c361b25feb098674e7251011c3,1434361,Ambala-E.pdf,https://web.archive.org/web/20240807190310id_/http://164.100.137.42/web/assets/uploads/2016/08/Ambala-E.pdf
Bhiwani,,Bhiwani.pdf,31f2b3a0dd6271962a3c92b7bd68b75540cef3bc2a1f7e5605f4bf5acf8e3085,2202015,bhiwani-E.pdf,https://web.archive.org/web/20240809023337id_/http://164.100.137.42/web/assets/uploads/2016/08/bhiwani-E.pdf
Faridabad,,Faridabad.pdf,90558397a93ead489f1245976fa96b09a7609e38cd8cfae758409e277fe4b5af,552803,Faridabad-E.pdf,https://web.archive.org/web/20240807192844id_/http://164.100.137.42/web/assets/uploads/2016/08/Faridabad-E.pdf
Fatehabad,,Fatehabad.pdf,edd5bfb6e1572ad4abd394dfe19ed935ac8b87c9479b641456d676d6441d2b92,1034169,Fatehabad-E.pdf,https://web.archive.org/web/20240807095456id_/http://164.100.137.42/web/assets/uploads/2016/08/Fatehabad-E.pdf
Gurgaon,,Gurgaon.pdf,75e2d7e0dc6edca5ed0c049752dfa251189989e8b7e277df956cf5dc3ede6807,821657,Gurgaon-E.pdf,https://web.archive.org/web/20240807222814id_/http://164.100.137.42/web/assets/uploads/2016/08/Gurgaon-E.pdf
Hisar,,Hisar.pdf,929a26e7019512f24e6476c80a565e0a125b2e9dc0b6c82c8248e84ca48a6de2,1477465,hisar-E.pdf,https://web.archive.org/web/20240807055923id_/http://164.100.137.42/web/assets/uploads/2016/08/hisar-E.pdf
Jhajjar,,Jhajjar.pdf,f9eb56d6a3209eac4c04e158fc2670eaae79dfdc83161af61d8585bfdc2a30a6,969880,Jhajjar-E.pdf,https://web.archive.org/web/20240807163205id_/http://164.100.137.42/web/assets/uploads/2016/08/Jhajjar-E.pdf
Jind,,Jind.pdf,66cfa9165e9ba5eba8ecc0d46bcb0388a906ecf3b88e93bc1d9d173f45ceaca9,1282594,Jind-E.pdf,https://web.archive.org/web/20240807165220id_/http://164.100.137.42/web/assets/uploads/2016/08/Jind-E.pdf
Kaithal,,Kaithal.pdf,5a1e52bb00f68e7a9a5b1212fc4433f4f26a043a739bb100638a5f72a3c34f9b,1270674,Kaithal-E.pdf,https://web.archive.org/web/20240807091233id_/http://164.100.137.42/web/assets/uploads/2016/08/Kaithal-E.pdf
Karnal,,Karnal.pdf,4f99011d5c4e050a801a4a35fda663dcee656d2d1ec41502a7ca11d6b988d797,1536914,Karnal-E.pdf,https://web.archive.org/web/20240807063209id_/http://164.100.137.42/web/assets/uploads/2016/08/Karnal-E.pdf
Kurukshetra,,Kurukshetra.pdf,5a08f1aa1055489919bf122b713300569b4ac5c45a2df13498380f285a94f492,1294294,Kurukshetra-E.pdf,https://web.archive.org/web/20240807205511id_/http://164.100.137.42/web/assets/uploads/2016/08/Kurukshetra-E.pdf
Mahendergarh,,Mahendergarh.pdf,d15db8ed5ce54fde223be60b81bf5c7d981863ca051d66d4143220b96b9b9d6b,1232543,Mahendergarh-E.pdf,https://web.archive.org/web/20240807082413id_/http://164.100.137.42/web/assets/uploads/2016/08/Mahendergarh-E.pdf
Mewat,,Mewat.pdf,096f73b42595e9419c6de67021b47f48922ae4987a8d1724f3fc256fa520c4b3,1673679,Mewat-E.pdf,https://web.archive.org/web/20240807061745id_/http://164.100.137.42/web/assets/uploads/2016/08/Mewat-E.pdf
Palwal,,Palwal.pdf,b4e2bece4a5e8bc84476cfe446382fdf2c17eb1908b2ffd200cfcbf7f42dcf1c,1154810,Palwal-E.pdf,https://web.archive.org/web/20240807105638id_/http://164.100.137.42/web/assets/uploads/2016/08/Palwal-E.pdf
Panchkula,,Panchkula.pdf,f8d926e29de45df68ba0eb9fb4a69a79a7edfeb5df9982667375ca4756e0e54e,421779,Panchkula-E.pdf,https://web.archive.org/web/20240807071526id_/http://164.100.137.42/web/assets/uploads/2016/08/Panchkula-E.pdf
Panipat,,Panipat.pdf,28308f7a3d6d22c61c6eca3d7b1f043af250e6bb2ee73e8dd195ee9208619e27,776749,Panipat-E.pdf,https://web.archive.org/web/20240808221317id_/http://164.100.137.42/web/assets/uploads/2016/08/Panipat-E.pdf
Rewari,,Rewari.pdf,02cc2684d18c2b7b608b7cd6297fd80e5d2e1cba0fb0db9552f5c3a1135742ba,1242187,Rewari-E.pdf,https://web.archive.org/web/20240807062838id_/http://164.100.137.42/web/assets/uploads/2016/08/Rewari-E.pdf
Rohtak,,Rohtak.pdf,dd6dc21f5e0314c07876f20692e1efdc67fe385dd4295e84193f732058b2c499,718250,Rohtak-E.pdf,https://web.archive.org/web/20240807190704id_/http://164.100.137.42/web/assets/uploads/2016/08/Rohtak-E.pdf
Sirsa,,Sirsa.pdf,715025d9c3d206c2b0808717b81c8f7eaef9043993a49843ae1612fa7d317188,1613741,Sirsa-E.pdf,https://web.archive.org/web/20240807102823id_/http://164.100.137.42/web/assets/uploads/2016/08/Sirsa-E.pdf
Sonipat,,Sonipat.pdf,0a789ca17801a3d9b0f037ed9ac75e2d722bcd7461b6451795daaad5d23c9c4c,1214119,Sonepat-E.pdf,https://web.archive.org/web/20240807221518id_/http://164.100.137.42/web/assets/uploads/2016/08/Sonepat-E.pdf
Yamuna Nagar,,Yamuna-Nagar.pdf,533fdbe6d73e232f89d5e9d1b51b6351e09d4d34679e22a6832f03f2f5d94124,1523766,Yamuna-Nagar-E.pdf,https://web.archive.org/web/20240807070412id_/http://164.100.137.42/web/assets/uploads/2016/08/Yamuna-Nagar-E.pdf
